date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2022-11-30,sh.600000,7.2400,7.3000,7.2200,7.2200,7.2700,32346981,234334306.2400,3,0.110200,1,-0.687800,0
2022-12-01,sh.600000,7.2800,7.3400,7.2100,7.2200,7.2200,30040435,217886966.6300,3,0.102300,1,0.000000,0
2022-12-02,sh.600000,7.2500,7.2500,7.1700,7.2300,7.2200,25722026,185354138.2700,3,0.087600,1,0.138500,0
2022-12-05,sh.600000,7.2800,7.3700,7.2400,7.3600,7.2300,47367357,346640963.0100,3,0.161400,1,1.798100,0
2022-12-06,sh.600000,7.3200,7.3900,7.3000,7.3600,7.3600,30550306,224448680.3800,3,0.104100,1,0.000000,0
2022-12-07,sh.600000,7.3500,7.4000,7.3000,7.3400,7.3600,31176550,229009592.5300,3,0.106200,1,-0.271700,0
2022-12-08,sh.600000,7.3200,7.3900,7.3100,7.3800,7.3400,25551776,187977673.6700,3,0.087100,1,0.545000,0
2022-12-09,sh.600000,7.3700,7.3900,7.3000,7.3200,7.3800,38192346,280350287.4800,3,0.130100,1,-0.813000,0
2022-12-12,sh.600000,7.3100,7.3600,7.2300,7.2600,7.3200,26708550,194644289.6200,3,0.091000,1,-0.819700,0
2022-12-13,sh.600000,7.2700,7.3500,7.2500,7.3200,7.2600,18253626,133464501.5800,3,0.062200,1,0.826400,0
2022-12-14,sh.600000,7.3700,7.3700,7.2600,7.3200,7.3200,16180635,118352408.6600,3,0.055100,1,0.000000,0
2022-12-15,sh.600000,7.2800,7.3200,7.2300,7.2400,7.3200,17471770,126757095.6500,3,0.059500,1,-1.092900,0
2022-12-16,sh.600000,7.2500,7.3500,7.2300,7.3500,7.2400,31704629,232171543.6900,3,0.108000,1,1.519300,0
2022-12-19,sh.600000,7.3700,7.3700,7.2100,7.2400,7.3500,20432546,148576218.2000,3,0.069600,1,-1.496600,0
2022-12-20,sh.600000,7.2300,7.2800,7.1300,7.1400,7.2400,24800259,178369739.9900,3,0.084500,1,-1.381200,0
2022-12-21,sh.600000,7.2200,7.2400,7.1300,7.1900,7.1400,17252934,124209180.5700,3,0.058800,1,0.700300,0
2022-12-22,sh.600000,7.2800,7.3100,7.2000,7.2400,7.1900,18662641,135509039.2900,3,0.063600,1,0.695400,0
2022-12-23,sh.600000,7.1900,7.2700,7.1700,7.1900,7.2400,12958464,93463047.0400,3,0.044100,1,-0.690600,0
2022-12-26,sh.600000,7.1900,7.2100,7.0800,7.1000,7.1900,20138533,143606823.7100,3,0.068600,1,-1.251700,0
2022-12-27,sh.600000,7.1300,7.2900,7.1200,7.2200,7.1000,24065192,173516852.3700,3,0.082000,1,1.690100,0
2022-12-28,sh.600000,7.2200,7.3000,7.2000,7.3000,7.2200,20901364,152167733.8100,3,0.071200,1,1.108000,0
2022-12-29,sh.600000,7.2700,7.2900,7.1800,7.2400,7.3000,18367088,132652083.0000,3,0.062600,1,-0.821900,0
2022-12-30,sh.600000,7.2300,7.3000,7.2200,7.2800,7.2400,20352397,147932730.7100,3,0.069300,1,0.552500,0
